"","ranking","title","desc","runtime","genre","rating","vote","director","actor","metascore","revenue"
"764",764,"The Devil's Toy Box","Cynthia O'Neil enters a haunted asylum known as the Madison Seminary in search of her father who went missing in the asylum while shooting a reality television show.",NA,"Horror",5.1,90,"Allen Kellogg","Allen Kellogg",NA,0
"765",765,"Beast","A troubled woman living in an isolated community finds herself pulled between the control of her oppressive family and the allure of a secretive outsider suspected of a series of brutal murders.",107,"Drama",7.7,56,"Michael Pearce","Jessie Buckley",NA,0
"766",766,"1%","1% is set within the primal underworld of outlaw motorcycle club gangs. It follows the heir to the throne of a motorcycle club who has to betray his president to save his brother's life.",92,"Crime",6.3,36,"Stephen McCallum","Eddie Baroo",NA,0
"767",767,"A Little Something for Your Birthday","An aspiring fashion designer struggles to find success and love. The story cuts into her life once a year, always on the same date: her birthday.",NA,"Comedy",7.7,21,"Susan Walter","Famke Janssen",NA,0
"768",768,"Lost in Florence","A heartbroken American in Florence gets involved in a dangerous local sport -- and with an alluring local woman.",97,"Adventure",5,392,"Evan Oppenheimer","Brett Dalton",28,0
"769",769,"Lost in London","Within the course of a night, Woody Harrelson finds himself in a misadventure in London that winds him up in prison.",103,"Comedy",7.9,297,"Woody Harrelson","Woody Harrelson",NA,0
"770",770,"Ruqyah: The Exorcism","        Add a Plot",NA,"Horror",2.8,19,"Jose Poernomo","Celine Evangelista",NA,0
"771",771,"Damsel",NA,NA,"Comedy",NA,NA,"David Zellner","Robert Pattinson",NA,0
"772",772,"Love at First Glance","After being dumped by her fianc<U+00E9> for being unadventurous, a woman sets out to prove him wrong by tracking down the handsome stranger whose cellphone she found on the subway.",80,"Drama",6.2,604,"Kevin Connor","Amy Smart",NA,0
"773",773,"The Light of the Moon","After her world is irrevocably changed, a successful New York City architect struggles to regain intimacy and control in her life.",90,"Drama",8.2,51,"Jessica M. Thompson","Stephanie Beatriz",NA,0
"774",774,"The Neighborhood","A brash group of hoodlums have been doing minor crime jobs in their neighborhood since they were kids until they step on the wrong toes and get caught up in a war with an old-school mafia king pin and their lives soon become hell on earth.",107,"Drama",8.2,2198,"Frank D'Angelo","Danny Aiello",NA,0
"775",775,"7 Witches","Carnage, death, and despair await the ignoble remnants of a persecuted family who assemble for the wedding of their daughter on the eve of an evil 100-year-old curse.",75,"Horror",3.6,502,"Brady Hall","Persephone Apostolou",NA,0.03
"776",776,"Michael Bolton's Big, Sexy Valentine's Day Special","After Santa tells Michael Bolton that he needs 75,000 new babies by Christmas to meet toy supply, Michael Bolton hosts a sexy telethon to get the world to start making love.",54,"Comedy",6.7,1280,"Scott Aukerman","Michael Bolton",NA,0
"777",777,"Badrinath Ki Dulhania","Badrinath Bansal from Jhansi and Vaidehi Trivedi from Kota belong to small towns but have diametrically opposite opinions on everything. This leads to a clash of ideologies, despite both of them recognizing the goodness in each other.",139,"Comedy",6.2,6195,"Shashank Khaitan","Varun Dhawan",NA,1.99
"778",778,"Daisy Winters","Daisy Winters is about an eleven year-old girl's unconventional, yet deeply loving relationship with her mother and what happens when this essential mother/daughter bond is harshly broken. ...                See full summary<U+00A0><U+00BB>",90,"Drama",8.1,11,"Beth LaMure","Iwan Rheon",NA,0
"779",779,"Looking Glass",NA,NA,"Thriller",NA,NA,"Tim Hunter","Nicolas Cage",NA,0
"780",780,"Christmas in the Heartland",NA,NA,"Family",NA,NA,"Harvey Lowry","Shelley Long",NA,0
"781",781,"The Forgiven","After the end of Apartheid, Archbishop Desmond Tutu meets with a brutal murderer seeking redemption.",NA,"Drama",8.1,7,"Roland Joff<U+00E9>","Forest Whitaker",NA,0
"782",782,"The Sandman","A little girl with formidable powers imagines into existence the Sandman, a terrible monster from her nightmares that brings harm to anyone who wants to hurt her.",90,"Horror",6.4,66,"Peter Sullivan","Haylie Duff",NA,0
