"","ranking","title","desc","runtime","genre","rating","vote","director","actor","metascore","revenue"
"73",73,"The House","After the town takes away their daughter's college scholarship, a couple start an illegal casino in their friend's house to make back the money.",88,"Comedy",5.6,11000,"Andrew Jay Cohen","Will Ferrell",30,25.48
"74",74,"American Satan","A young rock band, half of its members from England and half from the U.S., drops out of college and moves to the Sunset Strip to chase their dreams.",NA,"Drama",6.6,257,"Ash Avildsen","Denise Richards",NA,0
"75",75,"6 Days","In April 1980, armed gunmen stormed the Iranian Embassy in Princes Gate, London and took all inside hostage. Over the next six days a tense standoff took place, all the while a group of ...                See full summary<U+00A0><U+00BB>",94,"Action",6.1,3251,"Toa Fraser","Jamie Bell",36,0
"76",76,"Wonder Wheel","On Coney Island in the 1950s, a lifeguard tells the story of a middle-aged carousel operator and his beleaguered wife.",101,"Drama",6.9,95,"Woody Allen","Jim Belushi",56,0
"77",77,"Wheelman","A getaway driver for a bank robbery realizes he has been double crossed and races to find out who betrayed him.",NA,"Action",7.7,48,"Jeremy Rush","Frank Grillo",NA,0
"78",78,"The Book of Henry","With instructions from her genius son's carefully crafted notebook, a single mother sets out to rescue a young girl from the hands of her abusive stepfather.",105,"Crime",6.5,5667,"Colin Trevorrow","Naomi Watts",31,4.22
"79",79,"The Shape of Water","An other-worldly fairy tale, set against the backdrop of Cold War era America circa 1962. In the hidden high-security government laboratory where she works, lonely Elisa (Sally Hawkins) is trapped in a life of isolation. Elisa's life is changed forever when she and co-worker Zelda (Octavia Spencer) discover a secret classified experiment.",119,"Adventure",7.4,1627,"Guillermo del Toro","Sally Hawkins",87,0
"80",80,"Despicable Me 3","Gru meets his long-lost charming, cheerful, and more successful twin brother Dru who wants to team up with him for one last criminal heist.",90,"Animation",6.3,48027,"Kyle Balda","Steve Carell",49,251.77
"81",81,"The Florida Project","Set over one summer, the film follows precocious 6-year-old Moonee as she courts mischief and adventure with her ragtag playmates and bonds with her rebellious but caring mother, all while living in the shadows of Disney World.",115,"Drama",8.1,1263,"Sean Baker","Willem Dafoe",92,0
"82",82,"Call Me by Your Name","In 1983, the son of an American professor is enamored by the graduate student who comes to study and live with his family in their northern Italian home. Together, they share an unforgettable summer full of music, food, and romance that will forever change them.",132,"Drama",8.1,2316,"Luca Guadagnino","Armie Hammer",94,0
"83",83,"6 Below: Miracle on the Mountain","An adrenaline seeking snowboarder gets lost in a massive winter storm in the back country of the High Sierras where he is pushed to the limits of human endurance and forced to battle his own personal demons as he fights for survival....""",98,"Adventure",5.7,398,"Scott Waugh","Josh Hartnett",40,0
